City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
559,Cotonou,BJ,77.0,few clouds,6.37,2.42,Novotel Cotonou Orisha
560,Hirara,JP,78.8,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
562,Tabuk,PH,76.17,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
563,Camocim,BR,77.14,scattered clouds,-2.9,-40.84,Hotel Ilha do Amor
565,Manicore,BR,77.72,scattered clouds,-5.81,-61.3,Pousada da wanda
570,Amahai,ID,84.99,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
574,Emerald,AU,75.99,scattered clouds,-23.53,148.17,The Irish Village
576,Bandarbeyla,SO,79.7,light rain,9.49,50.81,REER XOOSHLE GROUP
580,Miandrivazo,MG,75.43,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
582,Benguela,AO,75.9,light rain,-12.58,13.41,Hotel Praia Morena
586,Bani,DO,80.01,thunderstorm with light rain,18.28,-70.33,Hospedaje Henriquez
594,Waingapu,ID,82.81,broken clouds,-9.66,120.26,Pondok Wisata Elim
595,Chirongui,YT,78.8,few clouds,-12.93,45.15,La Villa Mahatsara
596,Pochutla,MX,82.99,clear sky,15.74,-96.47,Hotel Posada San Jose
601,Praia,CV,77.0,overcast clouds,14.92,-23.51,LT Aparthotel
602,Balotra,IN,85.19,broken clouds,25.83,72.23,Hotel City Square
604,Daytona Beach,US,79.0,broken clouds,29.21,-81.02,Holiday Inn Resort Daytona Beach Oceanfront
608,Atambua,ID,84.65,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
613,San Quintin,MX,76.66,clear sky,30.48,-115.95,Old Mill Hotel
616,Matara,LK,76.75,few clouds,5.95,80.54,Amaloh Boutique Resort
620,Nata,PA,75.99,light rain,8.33,-80.52,Cabañas Estancia Bayamon
623,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
624,Pitimbu,BR,77.0,few clouds,-7.47,-34.81,Reserva do Abiaí
627,Teknaf,BD,79.39,overcast clouds,20.86,92.31,Magnum Engineering & Construction
629,San Policarpo,PH,82.87,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
635,Padang,ID,78.69,light rain,-0.95,100.35,Mercure Padang
638,Kandrian,PG,82.38,light rain,-6.22,149.55,Kandrian Station
644,Santa Cruz De Yojoa,HN,80.6,broken clouds,14.98,-87.9,Hotel El Encanto
646,Pozo Colorado,PY,81.01,overcast clouds,-23.49,-58.8,Hospedaje la Amistad
647,Kailua,US,84.2,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
648,Vettavalam,IN,76.42,broken clouds,12.1,79.25,"ADW Boys Hostel, Vettavalam"
656,Sao Jose Do Belmonte,BR,80.2,clear sky,-7.86,-38.76,Pousada Pedra do Reino
658,Kimbe,PG,87.44,light rain,-5.55,150.14,Kimbe Bay Hotel
663,Lethem,GY,84.42,scattered clouds,3.38,-59.8,Savannah Inn
664,Niamey,NE,86.0,clear sky,13.51,2.11,Soluxe Hotel Niamey
665,Manta,EC,77.0,overcast clouds,-0.95,-80.73,Balandra Hotel
666,Qui Nhon,VN,77.18,moderate rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
670,Mae Ramat,TH,75.2,broken clouds,16.98,98.52,ก้านพลู ไอศครีมกะทิสด
671,Palmas Bellas,PA,82.4,scattered clouds,9.23,-80.09,Estación de Chagres
672,Manokwari,ID,82.09,light rain,-0.87,134.08,Swiss Belhotel Manokwari
674,Manaure,CO,84.97,clear sky,11.78,-72.44,Del mar vendra
680,Kalmunai,LK,75.72,broken clouds,7.42,81.82,VS Villa
683,Nouakchott,MR,86.0,broken clouds,18.09,-15.98,Hôtel Iman
684,Villa Del Rosario,CO,87.8,scattered clouds,7.83,-72.47,Hotel Villas de San Diego
692,Kanniyakumari,IN,78.53,clear sky,8.08,77.57,Sparsa
